session,monkey,num_neurons,num_training_samples,num_testing_samples,kinematic_axis,bin_width,decoder,rsq,snr
indy_20160411_01,indy,320,320,9894,vely,64,UKF,0.7795074589808328,6.566060975748638
indy_20160411_01,indy,320,320,9894,vely,64,rEFH_static,0.8241598047202233,7.548818426134739
indy_20160411_01,indy,320,320,9894,vely,64,rEFH_dynamic,0.8341607190519589,7.803125939398524
indy_20160411_01,indy,320,320,4947,vely,128,regression,0.620962304279636,4.213175968148848
indy_20160411_01,indy,320,320,4947,vely,128,KF_observed,0.7318709904836456,5.716561961204006
indy_20160411_01,indy,320,320,4947,vely,128,KF_static,0.6953991164092665,5.162688411903137
indy_20160411_01,indy,320,320,4947,vely,128,KF_dynamic,0.7426993983075201,5.895591981992209
indy_20160411_01,indy,320,320,4947,vely,128,UKF,0.7763300032381963,6.503922685394512
indy_20160411_01,indy,320,320,4947,vely,128,rEFH_static,0.8628924587048197,8.629386571520586
indy_20160411_01,indy,320,320,4947,vely,128,rEFH_dynamic,0.8675632868361093,8.779916061780366
indy_20160411_01,indy,320,320,39576,accx,16,regression,0.04235785986264007,0.187967514629114
indy_20160411_01,indy,320,320,39576,accx,16,KF_observed,-0.004799085486395072,-0.020792311220291623
indy_20160411_01,indy,320,320,39576,accx,16,KF_static,0.0628793190404987,0.2820447773556374
indy_20160411_01,indy,320,320,39576,accx,16,KF_dynamic,-0.1893142877186662,-0.7529663627176919
indy_20160411_01,indy,320,320,39576,accx,16,UKF,0.26237615153244587,1.3216505034593184
indy_20160411_01,indy,320,320,39576,accx,16,rEFH_static,0.11474088857451736,0.5292959462187548
indy_20160411_01,indy,320,320,39576,accx,16,rEFH_dynamic,0.2054045745964399,0.9985393956722742
indy_20160411_01,indy,320,320,19788,accx,32,regression,0.06420175881315027,0.2881777539043364
indy_20160411_01,indy,320,320,19788,accx,32,KF_observed,0.10335865030721514,0.47381236996746645
